rank,matrix,score,error_reduction_percent,conditional_velocity_l2,null_velocity_l2,failed_captures,added_weight_bytes,added_weight_mib,reduction_percent_per_added_mib,probe_wall_seconds
13,single_blocks.7.linear2.weight,0.0026180342512647408,0.26809290557901594,0.0026180342512647408,0.0016755188567408137,19,24064000,22.94921875,0.011682005757996269,110.50941420000163
14,single_blocks.15.linear1.weight,0.002618420444126993,0.2533811994047817,0.002618420444126993,0.0015787344714010669,19,33689600,32.12890625,0.00788639356202117,106.8260125000088
15,double_blocks.7.img_mlp.0.weight,0.0026191016975807575,0.22742939754208713,0.0026191016975807575,0.0016619349720719818,19,19251200,18.359375,0.01238764378101581,102.93770529999165
16,single_blocks.1.linear2.weight,0.0026192376631074344,0.22224990026544367,0.0026192376631074344,0.0017005587872016635,19,24064000,22.94921875,0.009684421186034652,102.77568369999062
17,double_blocks.6.txt_attn.qkv.weight,0.0026193926507966127,0.21634576902252986,0.0026193926507966127,0.0016618051779095785,19,14438400,13.76953125,0.015711919679366707,100.90412239998113
18,single_blocks.6.linear1.weight,0.002620107819892329,0.1891019780842264,0.002620107819892329,0.0016870905524292584,19,33689600,32.12890625,0.005885727220615436,106.75472700002138
19,double_blocks.4.img_mlp.0.weight,0.0026205570334145454,0.17198955060486737,0.0026205570334145454,0.0016843300039016552,19,19251200,18.359375,0.009367941479754479,107.26846540000406
20,double_blocks.0.img_mlp.2.weight,0.0026206027128904746,0.17024942774463483,0.0026206027128904746,0.0016648887576516272,19,19251200,18.359375,0.00927316031970777,110.03350749998935
21,single_blocks.6.linear2.weight,0.0026206350529649532,0.1690174586434776,0.0026206350529649532,0.0016793435578277708,19,24064000,22.94921875,0.007364845857486003,108.52256209999905
22,single_blocks.2.linear2.weight,0.002621524699141632,0.13512710377262263,0.002621524699141632,0.0016802470843177437,19,24064000,22.94921875,0.005888091670773003,106.05002910000621
23,double_blocks.7.img_attn.qkv.weight,0.0026218613089368163,0.12230422462037563,0.0026218613089368163,0.0016348238813932356,19,14438400,13.76953125,0.008882235887323734,101.68746599997394
24,single_blocks.4.linear1.weight,0.0026222696557704085,0.10674858074350918,0.0026222696557704085,0.0016277056137286327,19,33689600,32.12890625,0.003322509017670316,106.98247509999783
25,single_blocks.11.linear2.weight,0.00262240644821746,0.10153758260092534,0.00262240644821746,0.0016633067605109513,19,24064000,22.94921875,0.004424446152482875,105.66284179998911
26,double_blocks.0.txt_mlp.0.weight,0.0026224455957465495,0.1000462889968621,0.0026224455957465495,0.0016768301010605814,19,19251200,18.359375,0.005449329783658872,109.65573640001821
27,double_blocks.3.txt_mlp.0.weight,0.002622453549407525,0.09974330068527476,0.002622453549407525,0.0016728547712912926,19,19251200,18.359375,0.0054328265905170935,109.25551699998323
28,single_blocks.10.linear2.weight,0.0026225011109989867,0.09793148014907362,0.0026225011109989867,0.0016905163277818709,19,24064000,22.94921875,0.004267312156283037,107.5605998999963
29,double_blocks.5.txt_attn.qkv.weight,0.002622601902518434,0.09409190836020737,0.002622601902518434,0.0016724029378374957,19,14438400,13.76953125,0.006833341429847684,104.33455420000246
30,single_blocks.2.linear1.weight,0.002622679765684719,0.09112577372608653,0.002622679765684719,0.0016959367821193813,19,33689600,32.12890625,0.0028362550849699883,105.77953680002247
31,single_blocks.13.linear1.weight,0.0026230408961063242,0.07736880105122143,0.0026230408961063242,0.0016652254964980109,19,33689600,32.12890625,0.0024080745372781383,107.24574630000279
32,double_blocks.6.txt_mlp.0.weight,0.0026230519884862255,0.07694624576905122,0.0026230519884862255,0.0016908247571177037,19,19251200,18.359375,0.004191114663165343,101.53139129999909
33,single_blocks.4.linear2.weight,0.002623059167713578,0.07667275888286186,0.002623059167713578,0.0016990633240899493,19,24064000,22.94921875,0.003340974684938321,106.81787829997484
34,single_blocks.0.linear1.weight,0.002623068253779613,0.07632663251220184,0.002623068253779613,0.001640844300744505,19,33689600,32.12890625,0.0023756374374618444,102.67293050000444
35,double_blocks.4.txt_mlp.0.weight,0.0026231782645325945,0.07213586144400445,0.0026231782645325945,0.0016799910839909579,19,19251200,18.359375,0.003929102240354285,105.50556069999584
36,double_blocks.1.img_mlp.2.weight,0.0026231842374924994,0.07190832634509381,0.0026231842374924994,0.0016888525647022923,19,19251200,18.359375,0.003916708839222131,106.0478071999969
37,double_blocks.5.img_mlp.2.weight,0.0026232065422836463,0.07105864328332856,0.0026232065422836463,0.001685957658869496,19,19251200,18.359375,0.0038704282299004493,106.13587410000036
38,double_blocks.7.txt_mlp.0.weight,0.0026233815468649554,0.06439198464974215,0.0026233815468649554,0.0016878739308200364,19,19251200,18.359375,0.003507308100071062,101.31225130002713
39,single_blocks.13.linear2.weight,0.0026234268618806414,0.06266574560905873,0.0026234268618806414,0.0016789508507508587,19,24064000,22.94921875,0.0027306265320713253,108.24044829999912
40,double_blocks.1.txt_mlp.2.weight,0.002623604424777817,0.05590162999217001,0.002623604424777817,0.0016891589738402834,19,19251200,18.359375,0.0030448547399990473,108.58824940002523
41,single_blocks.3.linear2.weight,0.0026236150011023224,0.055498733424844536,0.0026236150011023224,0.001682735980244692,19,24064000,22.94921875,0.002418327788384715,108.52892139999312
42,double_blocks.3.txt_mlp.2.weight,0.0026237481389478,0.05042695438700496,0.0026237481389478,0.0016719682470678753,19,19251200,18.359375,0.0027466596432070786,106.52868330001365
43,x_patch_mixer.3.linear1.weight,0.0026239173272842135,0.04398186092021081,0.0026239173272842135,0.0016897570039585384,19,33689600,32.12890625,0.0013689187107080811,107.2206488000229
44,double_blocks.4.img_mlp.2.weight,0.0026239817397138887,0.041528121268413515,0.0026239817397138887,0.0016860657607007735,19,19251200,18.359375,0.0022619572435561403,107.43125960000907
45,single_blocks.7.linear1.weight,0.0026241174168890103,0.0363596085121255,0.0026241174168890103,0.0016681341007438058,19,33689600,32.12890625,0.0011316790004989822,109.62150930002099
46,double_blocks.5.txt_mlp.2.weight,0.002624229113385763,0.03210462039211272,0.002624229113385763,0.0016778419702962214,19,19251200,18.359375,0.001748677195825714,101.30359329999192
47,single_blocks.0.linear2.weight,0.00262430439169413,0.029236953839379413,0.00262430439169413,0.0016892994513852493,19,24064000,22.94921875,0.0012739847119797667,101.73993250000058
48,double_blocks.6.img_mlp.2.weight,0.0026243079903277467,0.029099866788908885,0.0026243079903277467,0.0016801701083124473,19,19251200,18.359375,0.0015850140208426968,101.270637300011
49,double_blocks.5.img_mlp.0.weight,0.0026243991449243498,0.02562740581737649,0.0026243991449243498,0.0016751058683576615,19,19251200,18.359375,0.0013958757211166768,105.368020599999
50,double_blocks.5.img_attn.qkv.weight,0.0026244206829957014,0.02480693032894784,0.0026244206829957014,0.0016509596547476801,19,14438400,13.76953125,0.0018015813231803254,108.03719090000959
51,double_blocks.7.txt_mlp.2.weight,0.0026244239450084307,0.024682666580179126,0.0026244239450084307,0.0016792409961345928,19,19251200,18.359375,0.0013444175839416716,101.4004112999828
52,x_patch_mixer.3.linear2.weight,0.002624431033790398,0.024412625138120897,0.002624431033790398,0.0016740410751866265,19,24064000,22.94921875,0.0010637671549547148,108.94140980002703
53,double_blocks.0.txt_attn.proj.weight,0.0026245755675161487,0.018906729215780762,0.0026245755675161487,0.0016680777511967155,19,4812800,4.58984375,0.0041192533440339366,110.67608840001049
54,double_blocks.2.txt_mlp.0.weight,0.002624584611912498,0.018562190218259174,0.002624584611912498,0.0016434928904734386,19,19251200,18.359375,0.0010110469565690102,107.58993630000623
55,double_blocks.2.img_mlp.2.weight,0.002624660345259146,0.015677189348536267,0.002624660345259146,0.001708958061327786,19,19251200,18.359375,0.0008539064836649541,107.72066859999904
56,double_blocks.4.img_attn.proj.weight,0.002625302743880717,-0.00879446896271486,0.002625302743880717,0.001662779905966147,19,4812800,4.58984375,-0.0019160715357063867,106.27128430001903
57,single_blocks.9.linear2.weight,0.002625548934222991,-0.018172891850565802,0.002625548934222991,0.001676952569583812,19,24064000,22.94921875,-0.0007918740959565694,106.13346599999932
58,double_blocks.4.txt_attn.proj.weight,0.0026256334119354936,-0.021391002297656968,0.0026256334119354936,0.0016727086659018573,19,4812800,4.58984375,-0.004660507734638455,106.56997829998727
59,double_blocks.4.txt_mlp.2.weight,0.0026257726995047776,-0.026697050112934426,0.0026257726995047776,0.0016827621392862622,19,19251200,18.359375,-0.0014541371976406836,107.4919482000114
60,double_blocks.0.img_attn.qkv.weight,0.002625834262747981,-0.029042252299889423,0.002625834262747981,0.0016831262912621581,19,14438400,13.76953125,-0.0021091678266018984,111.81632109999191
61,double_blocks.7.img_mlp.2.weight,0.0026259334831089456,-0.032821972071248845,0.0026259334831089456,0.001677518910719347,19,19251200,18.359375,-0.0017877499681361072,101.45252280001296
62,double_blocks.3.img_attn.qkv.weight,0.002625992083152499,-0.035054293553125435,0.002625992083152499,0.0017282291198721547,19,14438400,13.76953125,-0.002545786992794358,106.1006090999872
63,double_blocks.7.img_attn.proj.weight,0.002625996695734294,-0.035230006143152436,0.002625996695734294,0.001664792429681732,19,4812800,4.58984375,-0.007675643891614488,100.61993630000507
64,double_blocks.6.img_attn.proj.weight,0.0026261693180411687,-0.04180591395005735,0.0026261693180411687,0.0016849372404015126,19,4812800,4.58984375,-0.009108352315927389,101.52031289998558
65,x_patch_mixer.0.linear1.weight,0.002626229354000705,-0.04409293549528617,0.002626229354000705,0.0016179751498923548,19,33689600,32.12890625,-0.0013723758646557156,109.57267110000248
66,double_blocks.2.img_attn.qkv.weight,0.002626305715931917,-0.04700188178790859,0.002626305715931917,0.0017252980874141626,19,14438400,13.76953125,-0.003413469996511943,106.26658579998184
67,double_blocks.2.img_attn.proj.weight,0.0026263575686545455,-0.048977169511243916,0.0026263575686545455,0.0016990091794653029,19,4812800,4.58984375,-0.010670770548832717,107.10543080000207
68,double_blocks.7.txt_attn.qkv.weight,0.0026265272247128052,-0.055440080465213794,0.0026265272247128052,0.001678899796507061,19,14438400,13.76953125,-0.004026286694778647,102.95768029999454
69,double_blocks.5.img_attn.proj.weight,0.0026267574489709828,-0.06421028823325522,0.0026267574489709828,0.0016790863285074081,19,4812800,4.58984375,-0.01398964577677731,107.4248461999814
70,single_blocks.1.linear1.weight,0.0026267947179524883,-0.06563002007947376,0.0026267947179524883,0.0016698643671550256,19,33689600,32.12890625,-0.0020427094395556573,101.92475030000787
71,double_blocks.1.img_mlp.0.weight,0.0026270513439797406,-0.07540598198508011,0.0026270513439797406,0.001669059339529312,19,19251200,18.359375,-0.004107219444293726,106.11706660001073
